,price,beds,baths,sqft,address,city,attribution
0,"$2,985,000",3,3,"2,164",562 Westbourne Drive,West Hollywood CA 90048,Courtesy Of Coldwell Banker Beverly Hills
1,"$2,095,000",3,2,"1,916",3215 Lowry Road,Los Angeles CA 90027,Courtesy Of Coldwell Banker San Diego Metro / Mission Valley
2,"$1,499,000",3,2,"1,182",8970 Cynthia Street,West Hollywood CA 90069,Courtesy Of Coldwell Banker Beverly Hills
3,"$949,000",1,1,907,8787 Shoreham Drive #309,West Hollywood CA 90069,Courtesy Of Coldwell Banker Beverly Hills
4,"$749,000",1,1,800,1400 N Sweetzer Avenue #405,West Hollywood CA 90069,Courtesy Of Coldwell Banker Beverly Hills
5,"$7,495,000",6,7,"7,921",326 S Mccadden Pl,Los Angeles CA 90020,Courtesy Of The Bienstock Group
6,"$5,998,000",4,5,"4,864",2349 Nottingham Ave,Los Angeles CA 90027,Courtesy Of sotheby's international realty
7,"$4,650,000",2,2,"2,597",240 S Canyon View Dr,Los Angeles CA 90049,Courtesy Of Compass
8,"$4,495,000",3,3,"3,000",9291 Flicker Way,Los Angeles CA 90069,Courtesy Of Rodeo Realty
9,"$3,595,000",4,4,"4,165",10122 Baywood Ct,Los Angeles CA 90077,Courtesy Of Compass
10,"$3,075,000",,,,3527 Mentone Avenue,Los Angeles CA 90034,Courtesy Of Keller Williams Beach Cities
11,"$2,300,000",6,5,"3,294",1718 Wellington Rd,Los Angeles CA 90019,Courtesy Of Real Estate eBroker Inc.
12,"$1,795,000",,,,1323 S Sycamore Ave,Los Angeles CA 90019,Courtesy Of Compass
13,"$1,795,000",3,2,"1,661",1145 S Clark Dr,Los Angeles CA 90035,Courtesy Of Compass
14,"$1,650,000",3,2,"1,526",12601 Stanwood Pl,Los Angeles CA 90066,Courtesy Of Compass
15,"$1,595,000",3,3,"1,755",8414 Blackburn AVE 1/2,Los Angeles CA 90048,Courtesy Of The Agency
16,"$1,550,000",3,3,"2,468",146 S Hayworth Avenue,Los Angeles CA 90048,Courtesy Of Rodeo Realty
17,"$1,499,000",4,3,"3,048",1758 Fanning St,Los Angeles CA 90026,Courtesy Of Compass
18,"$1,499,000",5,3,"3,191",2254 W 25Th St,Los Angeles CA 90018,Courtesy Of Compass
19,"$1,400,000",2,2,"1,568",1223 Roxbury Dr 202,Los Angeles CA 90035,Courtesy Of Renaissance Realty Group
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,"$1,350,000",,,,5215 Marmion Way,Los Angeles CA 90042,Courtesy Of eXp Realty
24,"$1,299,000",2,3,"1,460",3638 Hughes Ave 2,Los Angeles CA 90034,Courtesy Of Redfin Corporation
25,"$1,299,000",2,2,"1,801",1133 S Cochran Ave,Los Angeles CA 90019,Courtesy Of Keller Williams Larchmont
26,"$1,295,000",4,3,"3,002",4519 Sunnycrest Drive,Los Angeles CA 90065,Courtesy Of Compass
27,"$1,249,000",3,2,"2,208",1120 Granville Ave 102,Los Angeles CA 90049,Courtesy Of Compass
28,"$1,195,000",4,3,"2,356",544 Dove Dr,Los Angeles CA 90065,Courtesy Of Compass
29,"$1,095,000",4,2,"1,198",7042 W 85Th St,Los Angeles CA 90045,Courtesy Of Keller Williams | Marina del Rey
30,"$999,950",,,,6844 Bertrand Avenue,Reseda CA 91335,Courtesy Of Pinnacle Estate Properties Inc.
31,"$969,000",2,2,"1,681",333 S Wilton Pl 6,Los Angeles CA 90020,Courtesy Of Compass
32,"$950,000",2,2,"1,355",13080 Pacific Promenade 319,Playa Vista CA 90094,Courtesy Of Compass
33,"$945,700",3,3,"1,845",1118 N Avenue 56,Highland Park CA 90042,Courtesy Of Compass
34,"$939,000",2,3,"1,626",655 Museum Dr,Los Angeles CA 90065,Courtesy Of Deasy Penner Podley
35,"$899,000",3,2,"1,178",3212 La Clede Avenue,Los Angeles CA 90039,Courtesy Of CENTURY 21 ASTRO
36,"$875,000",3,2,"1,286",1255 Federal Ave 107,Los Angeles CA 90025,Courtesy Of Compass
37,"$874,500",2,1,"1,184",1730 S Spaulding Ave,Los Angeles CA 90019,"Courtesy Of Westchester Playa Realty Alliance, Inc."
38,"$838,000",2,2,"1,128",1730 Sawtelle Blvd 112,Los Angeles CA 90025,Courtesy Of Compass
39,"$819,900",2,1,"1,215",6197 Springvale Drive,Los Angeles CA 90042,Courtesy Of ColdwellBanker George Realty
40,"$799,900",4,2,"1,269",1262 N Bronson Avenue,Los Angeles CA 90038,"Courtesy Of Management Systems, Corporation"
41,"$750,000",2,1,"1,260",3942 Scandia Way,Los Angeles CA 90065,"Courtesy Of Pasadena Market Center, Inc."
42,"$749,000",2,1,"1,598",3715 Winchester Ave,Los Angeles CA 90032,Courtesy Of Nourmand & Associates Realtors
43,,,,,,,
44,"$2,699,000",5,5,"3,319",748 S Cloverdale Avenue,Los Angeles CA 90036,Courtesy Of Coldwell Banker Beverly Hills
45,"$2,495,000",4,2,"2,510",1215 S Bedford Drive,Los Angeles CA 90035,Courtesy Of Coldwell Banker Hancock Park
46,"$2,399,000",3,3,"1,999",1375 Jonesboro Drive,Los Angeles CA 90049,Courtesy Of Coldwell Banker Brentwood
47,"$1,795,000",3,3,"2,713",2181 Outpost Drive,Los Angeles CA 90068,Courtesy Of Coldwell Banker Beverly Hills
48,"$1,650,000",3,2,"2,867",2608 Claray Drive,Los Angeles CA 90077,Courtesy Of Coldwell Banker Beverly Hills
